location_name,cause_name,year,Metric,Value,Income,Out of Pocket Expense,oops_che,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
australia,Acute lymphoid leukemia,2019,All Age Deaths,128.7,High,14.7,817,,,,,,,,,
australia,Acute myeloid leukemia,2019,All Age Deaths,1309.6,High,14.7,817,,,,,,,,,
australia,Bladder cancer,2019,All Age Deaths,1341.7,High,14.7,817,,,,,,,,,
australia,Brain and central nervous system cancer,2019,All Age Deaths,1638.8,High,14.7,817,,,,,,,,,
australia,Breast cancer,2019,All Age Deaths,3578.4,High,14.7,817,,,,,,,,,
australia,Cervical cancer,2019,All Age Deaths,410.1,High,14.7,817,,,,,,,,,
australia,Chronic hepatitis B including cirrhosis,2019,All Age Deaths,460.6,High,14.7,817,,,,,,,,,
australia,Chronic hepatitis C including cirrhosis,2019,All Age Deaths,680.1,High,14.7,817,,,,,,,,,
australia,Chronic kidney disease due to diabetes mellitus type 1,2019,All Age Deaths,23.2,High,14.7,817,,,,,,,,,
australia,Chronic kidney disease due to diabetes mellitus type 2,2019,All Age Deaths,374.4,High,14.7,817,,,,,,,,,
australia,Chronic kidney disease due to glomerulonephritis,2019,All Age Deaths,1236.3,High,14.7,817,,,,,,,,,
australia,Chronic kidney disease due to hypertension,2019,All Age Deaths,1229.2,High,14.7,817,,,,,,,,,
australia,Chronic kidney disease due to other and unspecified causes,2019,All Age Deaths,1958.0,High,14.7,817,,,,,,,,,
australia,Chronic lymphoid leukemia,2019,All Age Deaths,404.1,High,14.7,817,,,,,,,,,
australia,Chronic myeloid leukemia,2019,All Age Deaths,145.8,High,14.7,817,,,,,,,,,
australia,Chronic obstructive pulmonary disease,2019,All Age Deaths,9159.3,High,14.7,817,,,,,,,,,
australia,Esophageal cancer,2019,All Age Deaths,1695.1,High,14.7,817,,,,,,,,,
australia,Ischemic heart disease,2019,All Age Deaths,22325.2,High,14.7,817,,,,,,,,,
australia,Ischemic stroke,2019,All Age Deaths,7356.9,High,14.7,817,,,,,,,,,
australia,Kidney cancer,2019,All Age Deaths,1273.2,High,14.7,817,,,,,,,,,
australia,Larynx cancer,2019,All Age Deaths,226.3,High,14.7,817,,,,,,,,,
australia,Lip and oral cavity cancer,2019,All Age Deaths,600.4,High,14.7,817,,,,,,,,,
australia,Liver cancer due to NASH,2019,All Age Deaths,239.0,High,14.7,817,,,,,,,,,
australia,Liver cancer due to alcohol use,2019,All Age Deaths,831.0,High,14.7,817,,,,,,,,,
australia,Liver cancer due to hepatitis B,2019,All Age Deaths,251.5,High,14.7,817,,,,,,,,,
australia,Liver cancer due to hepatitis C,2019,All Age Deaths,711.2,High,14.7,817,,,,,,,,,
australia,Liver cancer due to other causes,2019,All Age Deaths,89.3,High,14.7,817,,,,,,,,,
australia,Other chronic respiratory diseases,2019,All Age Deaths,142.3,High,14.7,817,,,,,,,,,
australia,Other leukemia,2019,All Age Deaths,212.2,High,14.7,817,,,,,,,,,
australia,Other malignant neoplasms,2019,All Age Deaths,934.8,High,14.7,817,,,,,,,,,
australia,Ovarian cancer,2019,All Age Deaths,1127.0,High,14.7,817,,,,,,,,,
australia,Pancreatic cancer,2019,All Age Deaths,3576.8,High,14.7,817,,,,,,,,,
australia,Prostate cancer,2019,All Age Deaths,4234.8,High,14.7,817,,,,,,,,,
australia,Pulmonary Arterial Hypertension,2019,All Age Deaths,50.1,High,14.7,817,,,,,,,,,
australia,Pulmonary aspiration and foreign body in airway,2019,All Age Deaths,231.5,High,14.7,817,,,,,,,,,
australia,Rheumatic heart disease,2019,All Age Deaths,475.8,High,14.7,817,,,,,,,,,
australia,Stomach cancer,2019,All Age Deaths,1757.6,High,14.7,817,,,,,,,,,
australia,Testicular cancer,2019,All Age Deaths,35.6,High,14.7,817,,,,,,,,,
australia,Thyroid cancer,2019,All Age Deaths,165.5,High,14.7,817,,,,,,,,,
australia,Uterine cancer,2019,All Age Deaths,476.7,High,14.7,817,,,,,,,,,
japan,Acute lymphoid leukemia,2019,All Age Deaths,893.4,High,12.9,576,,,,,,,,,
japan,Acute myeloid leukemia,2019,All Age Deaths,5475.8,High,12.9,576,,,,,,,,,
japan,Bladder cancer,2019,All Age Deaths,10963.1,High,12.9,576,,,,,,,,,
japan,Brain and central nervous system cancer,2019,All Age Deaths,3283.5,High,12.9,576,,,,,,,,,
japan,Breast cancer,2019,All Age Deaths,16813.1,High,12.9,576,,,,,,,,,
japan,Cervical cancer,2019,All Age Deaths,3954.6,High,12.9,576,,,,,,,,,
japan,Chronic hepatitis B including cirrhosis,2019,All Age Deaths,2933.4,High,12.9,576,,,,,,,,,
japan,Chronic hepatitis C including cirrhosis,2019,All Age Deaths,8465.2,High,12.9,576,,,,,,,,,
japan,Chronic kidney disease due to diabetes mellitus type 1,2019,All Age Deaths,614.9,High,12.9,576,,,,,,,,,
japan,Chronic kidney disease due to diabetes mellitus type 2,2019,All Age Deaths,17994.6,High,12.9,576,,,,,,,,,
japan,Chronic kidney disease due to glomerulonephritis,2019,All Age Deaths,547.9,High,12.9,576,,,,,,,,,
japan,Chronic kidney disease due to hypertension,2019,All Age Deaths,7613.4,High,12.9,576,,,,,,,,,
japan,Chronic kidney disease due to other and unspecified causes,2019,All Age Deaths,23186.8,High,12.9,576,,,,,,,,,
japan,Chronic lymphoid leukemia,2019,All Age Deaths,355.0,High,12.9,576,,,,,,,,,
japan,Chronic myeloid leukemia,2019,All Age Deaths,641.6,High,12.9,576,,,,,,,,,
japan,Chronic obstructive pulmonary disease,2019,All Age Deaths,31187.0,High,12.9,576,,,,,,,,,
japan,Esophageal cancer,2019,All Age Deaths,14253.1,High,12.9,576,,,,,,,,,
japan,Ischemic heart disease,2019,All Age Deaths,119496.5,High,12.9,576,,,,,,,,,
japan,Ischemic stroke,2019,All Age Deaths,84942.4,High,12.9,576,,,,,,,,,
japan,Kidney cancer,2019,All Age Deaths,8082.8,High,12.9,576,,,,,,,,,
japan,Larynx cancer,2019,All Age Deaths,1057.8,High,12.9,576,,,,,,,,,
japan,Lip and oral cavity cancer,2019,All Age Deaths,4961.5,High,12.9,576,,,,,,,,,
japan,Liver cancer due to NASH,2019,All Age Deaths,1397.8,High,12.9,576,,,,,,,,,
japan,Liver cancer due to alcohol use,2019,All Age Deaths,3001.5,High,12.9,576,,,,,,,,,
